code,description_es,description_pt
A515,Sífilis precoz,Sífilis precoce latente
A519,Sífilis precoz,Sífilis precoce não especificada
A52,Sífilis tardía,
A520,Sífilis cardiovascular,Sífilis cardiovascular
A521,Neurosífilis sintomática,Neurossífilis sintomática
A522,Neurosífilis asintomática,Neurossífilis assintomática
A523,Neurosífilis no especificada,Neurossífilis não especificada
A527,Otras sífilis tardías sintomáticas,Outras formas de sífilis tardia sintomática
A528,Sífilis tardía,Sífilis tardia latente
A529,Sífilis tardía,Sífilis tardia não especificada
A53,Otras sífilis y las no especificadas,
A530,Sífilis latente,"Sífilis latente, não especificada se recente ou tardia"
A539,Sífilis,Sífilis não especificada
A54,Infección gonocócica,
A540,Infección gonocócica del tracto genitourinario inferior sin absceso periuretral o de glándula accesoria,"Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias"
A541,Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias,"Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias"
A542,Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas
A543,Infección gonocócica del ojo,Infecção gonocócica do olho
A544,Infección gonocócica del sistema osteomuscular,Infecção gonocócica do sistema músculo-esquelético
A545,Faringitis gonocócica,Faringite gonocócica
A546,Infección gonocócica del ano y del recto,Infecção gonocócica do ânus ou do reto
A548,Otras infecciones gonocócicas,Outras infecções gonocócicas
A549,Infección gonocócica,Infecção gonocócica não especificada
A55,Linfogranuloma (venéreo) por clamidias,Linfogranuloma (venéreo) por clamídia
A56,Otras enfermedades de transmisión sexual debidas a clamidias,
A560,Infección del tracto genitourinario inferior debida a clamidias,Infecções por clamídias do trato geniturinário inferior
A561,Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários"
A562,Infecciones del tracto genitourinario debidas a clamidias,"Infecção por clamídias do trato geniturinário, localização não especificada"
A563,Infección del ano y del recto debida a clamidias,Infecção do ânus e do reto por clamídias
A564,Infección de faringe debida a clamidias,Infecção da faringe por clamídias
A568,Infección de transmisión sexual de otros sitios debida a clamidias,"Infecção por clamídias transmitida por via sexual, de outras localizações"
A57,Chancro blando,Cancro mole
A58,Granuloma inguinal,Granuloma inguinal
A59,Tricomoniasis,
A590,Tricomoniasis urogenital,Tricomoníase urogenital
A598,Tricomoniasis de otros sitios,Outras localizações de tricomoníase
A599,Tricomoniasis,Tricomoníase não especificada
A60,Infección anogenital debida a virus del herpes [herpes simple],
A600,Infección de genitales y trayecto urogenital debida a virus del herpes [herpes simple],Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes
A601,Infección de la piel perianal y recto por virus del herpes simple,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes
A609,Infección anogenital por virus del herpes simple,Infecção anogenital não especificada pelo vírus do herpes
A63,Otras enfermedades de transmisión predominantemente sexual,
A630,Verrugas (venéreas) anogenitales,Verrugas anogenitais (venéreas)
A638,Otras enfermedades de transmisión predominantemente sexual,Outras doenças especificadas de transmissão predominantemente sexual
A64,Enfermedad de transmisión sexual no ­especificada,"Doenças sexualmente transmitidas, não especificadas"
A65,Sífilis no venérea,Sífilis não-venérea
A65-A69,Otras enfermedades debidas a espiroquetas,
A66,Frambesia,
A660,Lesiones iniciales de frambesia,Lesões iniciais da bouba
A661,Lesiones papilomatosas múltiples y frambesia con paso de cangrejo,Papilomas múltiplos e bouba plantar úmida (cravo de bouba)
A662,Otras lesiones precoces de la piel en la frambesia,Outras lesões cutâneas precoces da bouba
A663,Hiperqueratosis de frambesia,Hiperceratose devida a bouba
A664,Goma y úlceras de frambesia,Gomas e úlceras devidas à bouba
A665,Gangosa,Gangosa
A666,Lesiones frambésicas de los huesos y de las articulaciones,Lesões osteoarticulares devidas à bouba
A667,Otras manifestaciones de frambesia,Outras manifestações da bouba
A668,Frambesia latente,Bouba latente
A669,Frambesia,Bouba não especificada
A67,Pinta [carate],
A670,Lesiones primarias de la pinta,Lesões primárias da pinta
A671,Lesiones intermedias de la pinta,Lesões intermediárias da pinta
A672,Lesiones tardías de la pinta,Lesões tardias da pinta
A673,Lesiones mixtas de la pinta,Lesões mistas da pinta
A679,Pinta,Pinta não especificada
A68,Fiebres recurrentes,
A680,Fiebre recurrente transmitida por piojos,Febre recorrente transmitida por piolhos
A681,Fiebre recurrente transmitida por garrapatas,Febre recorrente transmitida por carrapatos
A689,Fiebre recurrente,Febre recorrente não especificada
A69,Otras infecciones causadas por espiroquetas,
A690,Estomatitis ulcerativa necrotizante,Estomatite ulcerativa necrotizante
A691,Otras infecciones de Vincent,Outras infecções de Vincent
A692,Enfermedad de Lyme,Doença de Lyme
A698,Otras infecciones especificadas por espiroquetas,Outras infecções especificadas por espiroquetas
A699,Infección por espiroqueta,"Infecção por espiroqueta, não especificada"
A70,Infección debida a Chlamydia psittaci,Infecções causadas por Clamídia psittaci
A70-A74,Otras enfermedades causadas por clamidias,
A71,Tracoma,
A710,Estado inicial de tracoma,Fase inicial do tracoma
A711,Estado activo de tracoma,Fase ativa do tracoma
A719,Tracoma,Tracoma não especificado
A74,Otras enfermedades causadas por clamidias,
A740,Conjuntivitis por clamidias (H13.1),Conjuntivite causada por clamídias
A748,Otras enfermedades por clamidias,Outras doenças causadas por clamídias
A749,Infección por clamidias,Infecção causada por clamídias não especificada
A75,Tifus,
A75-A79,Rickettsiosis,
A750,Tifus epidémico debido a Rickettsia prowazekii transmitido por piojos,Tifo epidêmico transmitido por piolhos devido a Rickettsia prowazekii
A751,Tifus recrudescente [enfermedad de Brill],Tifo recrudescente [doença de Brill]
A752,Tifus debido a Rickettsia typhi,Tifo por Rickettsia typhi
A753,Tifus debido a Rickettsia tsutsugamushi,Tifo por Rickettsia tsutsugamuchi
A759,Tifus,Tifo não especificado
A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas],
A770,Fiebre maculosa debida a Rickettsia rickettsii,Febre maculosa por Rickettsia richettsii
A771,Fiebre maculosa debida a Rickettsia conorii,Febre maculosa por Rickettsia conorii
A772,Fiebre maculosa debida a Rickettsia siberica,Febre maculosa devida à Rickettsia siberica
A773,Fiebre maculosa debida a Rickettsia australis,Febre maculosa devida à Rickettsia australis
A778,Otras fiebres maculosas,Outras febres maculosas
A779,Fiebre maculosa,Febre maculosa não especificada
A78,Fiebre Q,Febre Q
A79,Otras rickettsiosis,
A790,Fiebre de las trincheras,Febre das trincheiras
A791,Rickettsiosis pustulosa debida a Rickettsia akari,Rickettsiose variceliforme devida à Rickettsia akari
A798,Otras rickettsiosis especificadas,Outros tipos de rickettsioses especificadas
A799,Rickettsiosis,Rickettsiose não especificada
A80,Poliomielitis aguda,
A80-A89,Infecciones virales del sistema nervioso central,
A800,Poliomielitis aguda paralítica,"Poliomielite paralítica aguda, associada ao vírus vacinal"
A801,Poliomielitis aguda paralítica debida a virus salvaje importado,"Poliomielite paralítica aguda, vírus selvagem importado"
A802,Poliomielitis aguda paralítica debida a virus salvaje autóctono,"Poliomielite paralítica aguda, vírus selvagem indígena"
A803,Otras poliomielitis agudas paralíticas,"Poliomielites paralíticas agudas, outras e não especificadas"
A804,Poliomielitis aguda no paralítica,Poliomielite aguda não-paralítica
A809,Poliomielitis aguda,Poliomielite aguda não especificada
A81,Infecciones del sistema nervioso central por virus atípico,
A810,Enfermedad de Creutzfeldt-Jakob,Doença de Creutzfeldt-Jakob
A811,Panencefalitis esclerosante subaguda,Panencefalite esclerosante subaguda
A812,Leucoencefalopatía multifocal progresiva,Leucoencefalopatia multifocal progressiva
A818,Otras infecciones del sistema nervioso central por virus atípico,Outras infecções por vírus atípicos do sistema nervoso central
A819,Infecciones del sistema nervioso central por virus atípico,Infecção não especificada do sistema nervosos central por vírus atípicos
A82,Rabia,
A820,Rabia selvática,Raiva silvestre
A821,Rabia urbana,Raiva urbana
A829,Rabia,Raiva não especificada
A83,Encefalitis viral transmitida por mosquitos,
A830,Encefalitis japonesa,Encefalite japonesa
A831,Encefalitis equina del oeste,Encefalite eqüina ocidental
A832,Encefalitis equina del este,Encefalite eqüina oriental
A833,Encefalitis de San Luis,Encefalite de St. Louis
A834,Encefalitis australiana,Encefalite australiana
A835,Encefalitis de California,Encefalite da Califórnia
A836,Enfermedad por virus Rocío,Doença pelo vírus de Rocio
A838,Otras encefalitis virales transmitidas por mosquitos,Outras encefalites por vírus transmitidas por mosquitos
A839,Encefalitis viral transmitida por mosquitos,Encefalite não especificada por vírus transmitida por mosquitos
A84,Encefalitis viral transmitida por garrapatas,
A840,Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa],Encefalite da taiga [encefalite vernoestival russa]
A841,Encefalitis centroeuropea transmitida por garrapatas,Encefalite da Europa Central transmitida por carrapatos
A848,Otras encefalitis virales transmitidas por garrapatas,Outras encefalites por vírus transmitidas por carrapatos
A849,Encefalitis viral transmitida por garrapatas,Encefalite não especificada por vírus transmitida por carrapatos
A85,Otras encefalitis virales,
A850,Encefalitis enteroviral (G05.1),Encefalite por enterovírus
A851,Encefalitis por adenovirus (G05.1),Encefalite por adenovírus
A852,Encefalitis viral transmitida por artrópodos,"Encefalite por vírus transmitido por artrópodes, não especificada"
A858,Otras encefalitis virales especificadas,Outras encefalites virais especificadas
A86,Encefalitis viral,"Encefalite viral, não especificada"
A87,Meningitis viral,
A870,Meningitis enteroviral (G02.0),Meningite por enterovírus
A871,Meningitis debida a adenovirus (G02.0),Meningite por adenovírus
A872,Coriomeningitis linfocítica,Coriomeningite linfocitária
A878,Otras meningitis virales,Outras meningites virais
A879,Meningitis viral,Meningite viral não especificada
A88,Otras infecciones virales del sistema nervioso central,
A880,Fiebre exantemática enteroviral [exantema de Boston],Febre exantemática por enterovírus [exantema de Boston]
A881,Vértigo epidémico,Vertigem epidêmica
A888,Otras infecciones virales especificadas del sistema nervioso central,Outras infecções virais especificadas do sistema nervoso central
A89,Infección viral del sistema nervioso central,Infecções virais não especificadas do sistema nervoso central
A90,Fiebre del dengue [dengue clásico],Dengue [dengue clássico]
A90-A99,Fiebres virales transmitidas por artrópodos y fiebres virales hemorrágicas,
A91,Fiebre del dengue hemorrágico,Febre hemorrágica devida ao vírus do dengue
A92,Otras fiebres virales transmitidas por mosquitos,
A920,Enfermedad por virus Chikungunya,Febre de Chikungunya
A921,Fiebre de O’nyong-nyong,Febre de O'nyong-nyong
A922,Fiebre equina venezolana,Febre eqüina venezuelana
A923,Enfermedad viral del oeste del Nilo,Infecção pelo vírus West Nile
A924,Fiebre del valle del Rift,Febre do vale do Rift
