code,description_es,description_pt
Q401,Hernia hiatal congénita,Hérnia congênita de hiato
Q402,Otras malformaciones congénitas del estómago,Outras malformações congênitas especificadas do estômago
Q403,Malformación congénita del estómago,Malformação congênita não especificada do estômago
Q408,Otras malformaciones congénitas de la parte superior del tubo digestivo,Outras malformações congênitas especificadas do trato digestivo superior
Q409,Malformación congénita de la parte superior del tubo digestivo,Malformação congênita não especificada do trato digestivo superior
Q41,Ausencia,
Q410,Ausencia,"Ausência, atresia e estenose congênita do duodeno"
Q411,Ausencia,"Ausência, atresia e estenose congênita do jejuno"
Q412,Ausencia,"Ausência, atresia e estenose congênita do íleo"
Q418,Ausencia,"Ausência, atresia e estenose congênita de outras partes especificadas do intestino delgado"
Q419,Ausencia,"Ausência, atresia e estenose congênita do intestino delgado, sem especificação de localização"
Q42,Ausencia,
Q420,Ausencia,"Ausência, atresia e estenose congênita do reto, com fístula"
Q421,Ausencia,"Ausência, atresia e estenose congênita do reto, sem fístula"
Q422,Ausencia,"Ausência, atresia e estenose congênita do ânus, com fístula"
Q423,Ausencia,"Ausência, atresia e estenose congênita do ânus, sem fístula"
Q428,Ausencia,"Ausência, atresia e estenose congênita de outras partes do cólon (intestino grosso)"
Q429,Ausencia,"Ausência, atresia e estenose congênita de partes não especificadas do cólon (intestino grosso)"
Q43,Otras malformaciones congénitas del intestino,
Q430,Divertículo de Meckel,Divertículo de Meckel
Q431,Enfermedad de Hirschsprung,Doença de Hirschsprung
Q432,Otros trastornos funcionales congénitos del colon,Outros transtornos funcionais congênitos do cólon
Q433,Malformaciones congénitas de la fijación del intestino,Malformações congênitas da fixação do intestino
Q434,Duplicación del intestino,Duplicação do intestino
Q435,Ano ectópico,Ânus ectópico
Q436,Fístula congénita del recto y del ano,Fístula congênita do reto e do ânus
Q437,Persistencia de la cloaca,Persistência de cloaca
Q438,Otras malformaciones congénitas del intestino,Outras malformações congênitas especificadas do intestino
Q439,Malformación congénita del intestino,Malformação congênita não especificada do intestino
Q44,Malformaciones congénitas de la vesícula biliar,
Q440,Agenesia,"Agenesia, aplasia e hipoplasia da vesícula biliar"
Q441,Otras malformaciones congénitas de la vesícula biliar,Outras malformações congênitas da vesícula biliar
Q442,Atresia de los conductos biliares,Atresia das vias biliares
Q443,Estrechez y estenosis congénita de los conductos biliares,Estenose e estreitamento congênitos das vias biliares
Q444,Quiste del colédoco,Cisto do colédoco
Q445,Otras malformaciones congénitas de los conductos biliares,Outras malformações congênitas das vias biliares
Q446,Enfermedad quística del hígado,Doença cística do fígado
Q447,Otras malformaciones congénitas del hígado,Outras malformações congênitas do fígado
Q45,Otras malformaciones congénitas del sistema digestivo,
Q450,Agenesia,"Agenesia, aplasia e hipoplasia do pâncreas"
Q451,Páncreas anular,Pâncreas anular
Q452,Quiste congénito del páncreas,Cisto pancreático congênito
Q453,Otras malformaciones congénitas del páncreas y del conducto pancreático,Outras malformações congênitas do pâncreas e do duto pancreático
Q458,Otras malformaciones congénitas del sistema digestivo,Outras malformações congênitas especificadas do aparelho digestivo
Q459,Malformación congénita del sistema digestivo,Malformação congênita não especificada do aparelho digestivo
Q50,Malformaciones congénitas de los ovarios,
Q50-Q56,Malformaciones congénitas de los órganos genitales,
Q500,Ausencia congénita de ovario,Ausência congênita dos ovários
Q501,Quiste en desarrollo del ovario,Cisto ovariano de desenvolvimento
Q502,Torsión congénita del ovario,Torsão congênita do ovário
Q503,Otras malformaciones congénitas de los ovarios,Outras malformações congênitas do ovário
Q504,Quiste embrionario de la trompa de Falopio,Cisto embrionário da trompa de Falópio
Q505,Quiste embrionario del ligamento ancho,Cisto embrionário do ligamento largo
Q506,Otras malformaciones congénitas de la trompa de Falopio y del ligamento ancho,Outras malformações congênitas das trompas de Falópio e dos ligamentos largos
Q51,Malformaciones congénitas del útero y del cuello uterino,
Q510,Agenesia y aplasia del útero,Agenesia e aplasia do útero
Q511,Duplicación del útero con duplicación del cuello uterino y de la vagina,Útero duplo com duplicação do colo uterino e da vagina
Q512,Otra duplicación del útero,Outra duplicação do útero
Q513,Útero bicorne,Útero bicórneo
Q514,Útero unicorne,Útero unicórneo
Q515,Agenesia y aplasia del cuello uterino,Agenesia e aplasia do colo do útero
Q516,Quiste embrionario del cuello uterino,Cisto embrionário do colo do útero
Q517,Fístula congénita entre el útero y el tracto digestivo y urinario,Fístula congênita útero-digestiva ou útero-urinária
Q518,Otras malformaciones congénitas del útero y del cuello uterino,Outras malformações congênitas do útero e do colo do útero
Q519,Malformación congénita del útero y del cuello uterino,Malformação congênita não especificada do útero e do colo do útero SOE
Q52,Otras malformaciones congénitas de los órganos genitales femeninos,
Q520,Ausencia congénita de la vagina,Ausência congênita da vagina
Q521,Duplicación de la vagina,Duplicação da vagina
Q522,Fístula rectovaginal congénita,Fístula reto-vaginal congênita
Q523,Himen imperforado,Imperfuração do hímen
Q524,Otras malformaciones congénitas de la vagina,Outras malformações congênitas da vagina
Q525,Fusión de labios de la vulva,Fusão dos lábios vulvares
Q526,Malformación congénita del clítoris,Malformação congênita do clitóris
Q527,Otras malformaciones congénitas de la vulva,Outras malformações congênitas da vulva
Q528,Otras malformaciones congénitas de los órganos genitales femeninos,Outras malformações congênitas especificadas dos órgãos genitais femininos
Q529,Malformación congénita de los genitales femeninos,Malformação congênita não especificada dos órgãos genitais femininos
Q53,Testículo no descendido,
Q530,Ectopia testicular,Testículo ectópico
Q531,Testículo no descendido,"Testículo não-descido, unilateral"
Q532,Testículo no descendido,"Testículo não-descido, bilateral"
Q539,Testículo no descendido,"Testículo não-descido, não especificado"
Q54,Hipospadias,
Q540,Hipospadias del glande,Hipospádia balânica
Q541,Hipospadias peneana,Hipospádia peniana
Q542,Hipospadias penoscrotal,Hipospádia penoscrotal
Q543,Hipospadias perineal,Hipospádia perineal
Q544,Encordamiento congénito del pene,Corda venérea congênita
Q548,Otras hipospadias,Outras hipospádias
Q549,Hipospadias,Hipospádia não especificada
Q55,Otras malformaciones congénitas de los órganos genitales masculinos,
Q550,Ausencia y aplasia del testículo,Ausência e aplasia do testículo
Q551,Hipoplasia del testículo y del escroto,Hipoplasia do(s) testículo(s) e do escroto
Q552,Otras malformaciones congénitas de los testículos y del escroto,Outras malformações congênitas do(s) testículo(s) e do escroto
Q553,Atresia del conducto deferente,Atresia do canal deferente
Q554,Otras malformaciones congénitas de los conductos deferentes,"Outras malformações congênitas do canal deferente, do epidídimo, das vesículas seminais e da próstata"
Q555,Aplasia y ausencia congénita del pene,Ausência e aplasia congênitas do pênis
Q556,Otras malformaciones congénitas del pene,Outras malformações congênitas do pênis
Q558,Otras malformaciones congénitas de los órganos genitales masculinos,Outras malformações congênitas especificadas dos órgãos genitais masculinos
Q559,Malformación congénita de los órganos genitales masculinos,Malformação congênita não especificada dos órgãos genitais masculinos
Q56,Sexo indeterminado y seudohermafroditismo,
Q560,Hermafroditismo,Hermafroditismo não classificado em outra parte
Q561,Seudohermafroditismo masculino,"Pseudo-hermafroditismo masculino, não classificado em outra parte"
Q562,Seudohermafroditismo femenino,"Pseudo-hermafroditismo feminino, não classificado em outra parte"
Q563,Seudohermafroditismo,Pseudo-hermafroditismo não especificado
Q564,Sexo indeterminado,"Sexo indeterminado, não especificado"
Q60,Agenesia renal y otras malformaciones hipoplásicas del riñón,
Q60-Q64,Malformaciones congénitas del sistema urinario,
Q600,Agenesia renal,Agenesia unilateral do rim
Q601,Agenesia renal,Agenesia bilateral do rim
Q602,Agenesia renal,Agenesia renal não especificada
Q603,Hipoplasia renal,Hipoplasia renal unilateral
Q604,Hipoplasia renal,Hipoplasia renal bilateral
Q605,Hipoplasia renal,Hipoplasia renal não especificada
Q606,Síndrome de Potter,Síndrome de Potter
Q61,Enfermedad quística del riñón,
Q610,Quiste renal solitario congénito,Cisto congênito único do rim
Q611,Riñón poliquístico,"Rim policístico, autossômico recessivo"
Q612,Riñón poliquístico,"Rim policístico, autossômico dominante"
Q613,Riñón poliquístico,Rim policístico não especificado
Q614,Displasia renal,Displasia renal
Q615,Riñón quístico medular,Cisto medular do rim
Q618,Otras enfermedades renales quísticas,Outras doenças císticas do rim
Q619,Enfermedad quística del riñón,Doença cística não especificada do rim
Q62,Defectos obstructivos congénitos de la pelvis renal y malformaciones congénitas del uréter,
Q620,Hidronefrosis congénita,Hidronefrose congênita
Q621,Atresia y estenosis del uréter,Atresia e estenose do ureter
Q622,Megalouréter congénito,Megaureter congênito
Q623,Otros defectos obstructivos de la pelvis renal y del uréter,Outras anomalias obstrutivas da pelve renal e do ureter
Q624,Agenesia del uréter,Agenesia do ureter
Q625,Duplicación del uréter,Duplicação do ureter
Q626,Mala posición del uréter,Má-posição do ureter
Q627,Reflujo vésico–urétero–renal congénito,Refluxo vésico-uretero-renal congênito
Q628,Otras malformaciones congénitas del uréter,Outras malformações congênitas do ureter
Q63,Otras malformaciones congénitas del riñón,
Q630,Riñón supernumerario,Rim supranumerário
Q631,Riñón lobulado,"Rim lobulado, fundido ou em ferradura"
Q632,Riñón ectópico,Rim ectópico
Q633,Hiperplasia renal y riñón gigante,Rim hiperplásico e gigante
Q638,Otras malformaciones congénitas del riñón,Outras malformações congênitas especificadas do rim
Q639,Malformación congénita del riñón,Malformação congênita não especificada do rim
Q64,Otras malformaciones congénitas del sistema urinario,
Q640,Epispadias,Epispádias
Q641,Extrofia de la vejiga urinaria,Extrofia vesical
Q642,Válvulas uretrales posteriores congénitas,Válvulas uretrais posteriores congênitas
Q643,Otras atresias y estenosis de la uretra y del cuello de la vejiga,Outras formas de atresia e de estenose de uretra e do colo da bexiga
Q644,Malformación del uraco,Malformação do úraco
Q645,Ausencia congénita de la vejiga y de la uretra,Ausência congênita da bexiga e da uretra
Q646,Divertículo congénito de la vejiga,Divertículo congênito da bexiga
Q647,Otras malformaciones congénitas de la vejiga y de la uretra,Outras malformações congênitas da bexiga e da uretra
Q648,Otras malformaciones congénitas del aparato urinario,Outras malformações congênitas especificadas do aparelho urinário
Q649,Malformación congénita del aparato urinario,Malformação congênita não especificada do aparelho urinário
Q65,Deformidades congénitas de la cadera,
Q65-Q79,Malformaciones y deformidades congénitas del sistema osteomuscular,
Q650,Luxación congénita de la cadera,Luxação congênita unilateral do quadril
Q651,Luxación congénita de la cadera,Luxação congênita bilateral do quadril
Q652,Luxación congénita de la cadera,Luxação congênita não especificada do quadril
Q653,Subluxación congénita de la cadera,Subluxação congênita unilateral do quadril
Q654,Subluxación congénita de la cadera,Subluxação congênita bilateral do quadril
Q655,Subluxación congénita de la cadera,Subluxação congênita não especificada do quadril
Q656,Cadera inestable,Quadril instável
Q658,Otras deformidades congénitas de la cadera,Outras deformidades congênitas do quadril
Q659,Deformidad congénita de la cadera,Deformidade congênita não especificada do quadril
Q66,Deformidades congénitas de los pies,
Q660,Talipes equinovarus,Pé torto eqüinovaro
Q661,Talipes calcaneovarus,Pé torto calcaneovaro
Q662,Metatarsus varus,Metatarso varo
Q663,Otras deformidades varus congénitas de los pies,Outras deformidades congênitas dos pés em varo
Q664,Talipes calcaneovalgus,Pé torto calcaneovalgo
Q665,Pie plano congénito,Pé chato congênito
Q666,Otras deformidades valgus congénitas de los pies,Outras deformidades congênitas dos pés em valgo
Q667,Pie cavus,Pé cavo
Q668,Otras deformidades congénitas de los pies,Outras deformidades congênitas do pé
Q669,Deformidad congénita de los pies,Deformidade congênita não especificada do pé
Q67,Deformidades osteomusculares congénitas de la cabeza,
Q670,Asimetría facial,Assimetria facial
Q671,Facies comprimida,Deformidade facial por compressão
Q672,Dolicocefalia,Dolicocefalia
Q673,Plagiocefalia,Plagiocefalia
Q674,Otras deformidades congénitas del cráneo,"Outras deformidades congênitas do crânio, da face e da mandíbula"
Q675,Deformidad congénita de la columna vertebral,Deformidades congênitas da coluna vertebral
Q676,Tórax excavado,Tórax escavado
Q677,Tórax en quilla,Tórax carinado
Q678,Otras deformidades congénitas del tórax,Outras deformidades congênitas do tórax
Q68,Otras deformidades osteomusculares congénitas,
Q680,Deformidad congénita del músculo esternocleidomastoideo,Deformidade congênita do músculo esternocleidomastoideu
Q681,Deformidad congénita de la mano,Deformidade congênita da mão
Q682,Deformidad congénita de la rodilla,Deformidade congênita do joelho
Q683,Curvatura congénita del fémur,Encurvamento congênito do fêmur
Q684,Curvatura congénita de la tibia y del peroné,Encurvamento congênito da tíbia e da perônio [fíbula]
Q685,Curvatura congénita de hueso(s) largo(s) del miembro inferior,Encurvamento congênito de ossos longos não especificados do membro inferior
Q688,Otras deformidades congénitas osteomusculares,Outras deformidades osteomusculares congênitas
Q69,Polidactilia,
Q690,Dedo(s) supernumerario(s) de la mano,Dedo(s) da mão supranumerário(s)
Q691,Pulgar(es) supernumerario(s),Polegar(es) supranumerário(s)
Q692,Dedo(s) supernumerario(s) del pie,Artelho(s) supranumerário(s)
Q699,Polidactilia,Polidactilia não especificada
Q70,Sindactilia,
Q700,Fusión de los dedos de la mano,Coalescência dos dedos (dedos da mão fundidos)
Q701,Membrana interdigital de la mano,Dedos palmados
Q702,Fusión de los dedos del pie,Coalescência dos artelhos (artelhos fundidos)
Q703,Membrana interdigital del pie,Artelhos palmados
Q704,Polisindactilia,Polissindactilia
Q709,Sindactilia,Sindactilia não especificada
Q71,Defectos por reducción del miembro superior,
Q710,Ausencia congénita completa del (de los) miembro(s) superior(es),Ausência congênita completa do(s) membro(s) superior(es)
Q711,Ausencia congénita del brazo y del antebrazo con presencia de la mano,"Ausência congênita do braço e do antebraço, com mão presente"
Q712,Ausencia congénita del antebrazo y de la mano,Ausência congênita do antebraço e da mão
Q713,Ausencia congénita de la mano y el (los) dedo(s),Ausência congênita da mão e de dedo(s)
Q714,Defecto por reducción longitudinal del radio,Defeito de redução longitudinal do rádio
Q715,Defecto por reducción longitudinal del cúbito,Defeito de redução longitudinal do cúbito [ulna]
Q716,Mano en pinza de langosta,Mão em garra de lagosta
Q718,Otros defectos por reducción del (de los) miembro(s) superior(es),Outros defeitos de redução do membro superior
Q719,Defecto por reducción del miembro superior,"Defeito por redução do membro superior, não especificado"
Q72,Defectos por reducción del miembro inferior,
Q720,Ausencia congénita completa del (de los) miembro(s) inferior(es),Ausência congênita completa do(s) membro(s) inferior(es)
Q721,Ausencia congénita del muslo y de la pierna con presencia del pie,Ausência congênita da coxa e da perna com pé presente
Q722,Ausencia congénita de la pierna y del pie,Ausência congênita da perna e do pé
Q723,Ausencia congénita del pie y dedo(s) del pie,Ausência congênita do pé e de artelho(s)
Q724,Defecto por reducción longitudinal del fémur,Defeito por redução longitudinal da tíbia
Q725,Defecto por reducción longitudinal de la tibia,Defeito por redução longitudinal da tíbia
Q726,Defecto por reducción longitudinal del peroné,Defeito por redução longitudinal do perônio [fíbula]
Q727,Pie hendido,Pé bífido
Q728,Otros defectos por reducción del (de los) miembro(s) inferior(es),Outros defeitos por redução do(s) membro(s) inferior(es)
Q729,Defecto por reducción del miembro inferior,Defeito não especificado por redução do membro inferior
Q73,Defectos por reducción de miembro no especificado,
Q730,Ausencia completa de miembro(s) no especificado(s),Ausência congênita de membro(s) não especificado(s)
Q731,Focomelia,"Focomelia, membro(s) não especificado(s)"
Q738,Otros defectos por reducción de miembro(s) no especificado(s),Outros defeitos por redução de membro(s) não especificado(s)
Q74,Otras anomalías congénitas del (de los) miembro(s),
Q740,Otras malformaciones congénitas del (de los) miembro(s) superior(es),"Outras malformações congênitas do(s) membro(s) superiores, inclusive da cintura escapular"
Q741,Malformación congénita de la rodilla,Malformação congênita do joelho
Q742,Otras malformaciones congénitas del (de los) miembro(s) inferior(es),"Outras malformações congênitas do(s) membro(s) inferiores, inclusive da cintura pélvica"
Q743,Artrogriposis múltiple congénita,Artrogripose congênita múltipla
Q748,Otras malformaciones congénitas especificadas del (de los) miembro(s),Outras malformações congênitas especificadas de membro(s)
Q749,Malformación congénita de miembro(s),Malformações congênitas não especificadas de membro(s)
Q75,Otras malformaciones congénitas de los huesos del cráneo y de la cara,
Q750,Craneosinostosis,Craniossinostose
Q751,Disostosis craneofacial,Disostose craniofacial
Q752,Hipertelorismo,Hipertelorismo
Q753,Macrocefalia,Macrocefalia
Q754,Disostosis maxilofacial,Disostose mandíbulo-facial
Q755,Disostosis oculomaxilar,Disostose óculo-mandibular
Q758,Otras malformaciones congénitas especificadas de los huesos del cráneo y de la cara,Outras malformações congênitas especificadas dos ossos do crânio e da face
Q759,Malformación congénita no especificada de los huesos del cráneo y de la cara,Malformação congênita não especificada dos ossos do crânio e da face
Q76,Malformaciones congénitas de la columna vertebral y tórax óseo,
Q760,Espina bífida oculta,Espinha bífida oculta
Q761,Síndrome de Klippel–Feil,Síndrome de Klippel-Feil
Q762,Espondilolistesis congénita,Espondilolistese congênita
Q763,Escoliosis congénita debida a malformación congénita ósea,Escoliose congênita devida à malformação óssea congênita
Q764,Otra malformacion congenita de la columna vertebral,Outras malformações congênitas da coluna vertebral não-associadas com escoliose
Q765,Costilla cervical,Costela cervical
Q766,Otras malformaciones congenitas de las costillas,Outras malformações congênitas das costelas
Q767,Malformación congénita del esternón,Malformação congênita do esterno
Q768,Otras malformaciones congénitas del tórax óseo,Outras malformações congênitas dos ossos do tórax
Q769,Malformación congénita del tórax óseo,Malformação congênita não especificada dos ossos do tórax
Q77,Osteocondrodisplasia con defecto del crecimiento de los huesos largos y de la columna vertebral,
Q770,Acondrogénesis,Acondrogenesia
Q771,Enanismo tanatofórico,Nanismo tanatofórico
Q772,Síndrome de costilla corta,Síndrome das costelas curtas
Q773,Condrodisplasia punctata,Condrodisplasia puntacta
Q774,Acondroplasia,Acondroplasia
Q775,Displasia distrófica,Displasia diastrófica
Q776,Displasia condroectodérmica,Displasia condroectodérmica
Q777,Displasia espondiloepifisaria,Displasia espondiloepifisária
Q778,Otras osteocondrodisplasias con defectos del crecimiento de los huesos largos y de la columna vertebral,Outras osteocondrodisplasias com anomalias do crescimento dos ossos longos e da coluna vertebral
Q779,Osteocondrodisplasia con defectos del crecimiento de los huesos largos y de la columna vertebral,Osteocondrodisplasia não especificada com anomalias do crescimento dos ossos longos e da coluna vertebral
Q78,Otras osteocondrodisplasias,
Q780,Osteogénesis imperfecta,Osteogênese imperfeita
Q781,Displasia poliostótica fibrosa,Displasia poliostótica fibrosa
Q782,Osteopetrosis,Osteopetrose
Q783,Displasia diafisaria progresiva,Displasia diafisária progressiva
Q784,Encondromatosis,Encondromatose
Q785,Displasia metafisaria,Displasia metafisária
Q786,Exostosis congénita múltiple,Exostoses congênitas múltiplas
Q788,Otras osteocondrodisplasias especificadas,Outras osteocondrodisplasias especificadas
Q789,Osteocondrodisplasia,Osteocondrodisplasia não especificada
Q79,Malformaciones congénitas del sistema osteomuscular,
Q790,Hernia diafragmática congénita,Hérnia diafragmática congênita
Q791,Otras malformaciones congénitas del diafragma,Outras malformações congênitas do diafragma
Q792,Exónfalos,Exonfalia
Q793,Gastrosquisis,Gastrosquise
Q794,Síndrome del abdomen en ciruela pasa,Síndrome do abdome em ameixa seca (prune belly syndrome)
Q795,Otras malformaciones congénitas de la pared abdominal,Outras malformações congênitas da parede abdominal
Q796,Síndrome de Ehlers–Danlos,Síndrome de Ehlers-Danlos
Q798,Otras malformaciones congénitas del sistema osteomuscular,Outras malformações congênitas do sistema osteomuscular
Q799,Malformación congénita del sistema osteomuscular,Malformação congênita não especificada do sistema osteomuscular
Q80,Ictiosis congénita,
Q80-Q89,Otras malformaciones congénitas,
Q800,Ictiosis vulgar,Ictiose vulgar
Q801,Ictiosis ligada al cromosoma X,Ictiose ligada ao cromossomo X
Q802,Ictiosis lamelar,Ictiose lamelar
Q803,Eritrodermia ictiosiforme vesicular congénita,Eritrodermia ictiosiforme bulhosa congênita
Q804,Feto arlequín,Feto arlequim
Q808,Otras ictiosis congénitas,Outras ictioses congênitas
Q809,Ictiosis congénita,Ictiose congênita não especificada
Q81,Epidermólisis bullosa,
Q810,Epidermólisis bullosa simple,Epidermólise bolhosa simples
Q811,Epidermólisis bullosa letal,Epidermólise bolhosa letal
Q812,Epidermólisis bullosa distrófica,Epidermólise bolhosa distrófica
Q818,Otras epidermólisis bullosas,Outras epidermólises bolhosas
Q819,Epidermólisis bullosa,Epidermólise bolhosa não especificada
Q82,Otras malformaciones congénitas de la piel,
Q820,Linfedema hereditario,Linfedema hereditário
Q821,Xeroderma pigmentoso,Xeroderma pigmentoso
Q822,Mastocitosis,Mastocitose
Q823,Incontinencia pigmentaria,Incontinentia pigmenti
Q824,Displasia ectodérmica (anhidrótica),Displasia ectodérmica (anidrótica)
Q825,Nevo no neoplásico,Nevo não-neoplásico congênito
Q828,Otras malformaciones congénitas de la piel,Outras malformações congênitas especificadas da pele
Q829,Malformación congénita de la piel,Malformação congênita não especificada da pele
Q83,Malformaciones congénitas de la mama,
Q830,Ausencia congénita de la mama con ausencia del pezón,Ausência congênita da mama com ausência do mamilo
Q831,Mama supernumeraria,Mama supranumerária
Q832,Ausencia de pezón,Ausência de mamilo
Q833,Pezón supernumerario,Mamilo acessório
Q838,Otras malformaciones congénitas de la mama,Outras malformações congênitas da mama
Q839,Malformación congénita de la mama,Malformação congênita não especificada da mama
Q84,Otras malformaciones congénitas de las faneras,
Q840,Alopecia congénita,Alopécia congênita
Q841,Alteraciones morfológicas congénitas del pelo,Alterações morfológicas congênitas dos cabelos não classificadas em outra parte
Q842,Otras malformaciones congénitas del pelo,Outras malformações congênitas dos cabelos
Q843,Anoniquia,Anoníquia
Q844,Leuconiquia congénita,Leuconíquia congênita
Q845,Agrandamiento e hipertrofia de las uñas,Hipertrofia e alargamento das unhas
Q846,Otras malformaciones congénitas de las uñas,Outras malformações congênitas das unhas
Q848,Otras malformaciones congénitas de las faneras,Outras malformações congênitas especificadas do tegumento
Q849,Malformación congénita de las faneras,Malformação congênita não especificada do tegumento
Q85,Facomatosis,
Q850,Neurofibromatosis (no maligna),Neurofibromatose (não-maligna)
Q851,Esclerosis tuberosa,Esclerose tuberosa
Q858,Otras facomatosis,Outras facomatoses não classificadas em outra parte
Q859,Facomatosis,Facomatose não especificada
Q86,Síndromes de malformaciones congénitas debidos a causas exógenas conocidas,
Q860,Síndrome fetal (dismórfico) debido al alcohol,Síndrome fetal alcoólico (dismórfico)
Q861,Síndrome de hidantoína fetal,Síndrome fetal devida à hidantoína
Q862,Dismorfismo debido a warfarina,Dismorfismo devido ao Warfarin
Q868,Otros síndromes de malformaciones congénitas debidos a causas exógenas conocidas,Outras síndromes com malformações congênitas devidas a causas exógenas conhecidas
Q87,Otros síndromes de malformaciones congénitas especificados que afectan múltiples sistemas,
Q870,Síndromes de malformaciones congénitas que afectan principalmente la apariencia facial,Síndromes com malformações congênitas afetando predominantemente o aspecto da face
Q871,Síndromes de malformaciones congénitas asociadas principalmente con estatura baja:,Síndromes com malformações congênitas associadas predominantemente com nanismo
Q872,Síndromes de malformaciones congénitas que afectan principalmente los miembros,Síndromes com malformações congênitas afetando predominantemente os membros
Q873,Síndromes de malformaciones congénitas con exceso de crecimiento precoz,Síndromes com malformações congênitas com hipercrescimento precoce
Q874,Síndrome de Marfan,Síndrome de Marfan
Q875,Otros síndromes de malformaciones congénitas con otros cambios esqueléticos,Outras síndromes com malformações congênitas com outras alterações do esqueleto
Q878,Otros síndromes de malformaciones congénitas especificados,"Outras síndromes com malformações congênitas especificadas, não classificadas em outra parte"
Q89,Otras malformaciones congénitas,
Q890,Malformaciones congénitas del bazo,Malformações congênitas do baço
Q891,Malformaciones congénitas de la glándula suprarrenal,Malformações congênitas das supra-renais
Q892,Malformaciones congénitas de otras glándulas endocrinas,Malformações congênitas de outras glândulas endócrinas
Q893,Situs inversus,Situs inversus
Q894,Gemelos siameses,Reunião de gêmeos
Q897,Malformaciones congénitas múltiples,"Malformações congênitas múltiplas, não classificadas em outra parte"
Q898,Otras malformaciones congénitas,Outras malformações congênitas especificadas
Q899,Malformación congénita,Malformações congênitas não especificadas
Q90,Síndrome de Down,
Q90-Q99,Anomalías cromosómicas,
Q900,Trisomía 21,"Trissomia 21, não-disjunção meiótica"
Q901,Trisomía 21,"Trissomia 21, mosaicismo (não-disjunção mitótica)"
Q902,Trisomía 21,"Trissomia 21, translocação"
Q909,Síndrome de Down,Síndrome de Down não especificada
Q91,Síndrome de Edwards y síndrome de Patau,
Q910,Trisomía 18,"Trissomia 18, não-disjunção meiótica"
Q911,Trisomía 18,"Trissomia 18, mosaicismo cromossômico (não-disjunção mitótica)"
Q912,Trisomía 18,"Trissomia 18, translocação"
Q913,Síndrome de Edwards,Síndrome de Edwards não especificada
Q914,Trisomía 13,"Trissomia 13, não-disjunção meiótica"
Q915,Trisomía 13,"Trissomia 13, mosaicismo cromossômico (não-disjunção mitótica)"
Q916,Trisomía 13,"Trissomia 13, translocação"
Q917,Síndrome de Patau,Síndrome de Patau não especificada
Q92,Otras trisomías y trisomías parciales de los autosomas,
Q920,Trisomía de un cromosoma completo,"Trissomia de um cromossomo inteiro, não-disjunção meiótica"
Q921,Trisomía de un cromosoma completo,"Trissomia de um cromossomo inteiro, mosaicismo cromossômico (não-disjunção mitótica)"
Q922,Trisomía parcial mayor,Trissomia parcial major
Q923,Trisomía parcial menor,Trissomia parcial minor
Q924,Duplicaciones visibles sólo en la prometafase,Duplicações vistas somente na prometáfase
Q925,Duplicaciones con otros reordenamientos complejos,Duplicação com outros rearranjos complexos
Q926,Cromosomas marcadores suplementarios,Cromossomos marcadores suplementares
Q927,Triploidía y poliploidía,Triploidia e poliploidia
Q928,Otras trisomías y trisomías parciales de los autosomas,Outras trissomias especificadas e trissomias parciais dos autossomos
Q929,Trisomía y trisomía parcial de los autosomas,Trissomia e trissomia parcial não especificada dos autossomos
Q93,Monosomías y supresiones de los autosomas,
Q930,Monosomía completa de un cromosoma,"Monossomia de cromossomo inteiro, não-disjunção meiótica"
Q931,Monosomía completa de un cromosoma,"Monossomia de cromossomo inteiro, mosaicismo cromossômico (não-disjunção mitótica)"
Q932,Cromosoma reemplazado por anillo o dicéntrico,Cromossomo substituído por anel ou dicêntrico
Q933,Supresión del brazo corto del cromosoma 4,Deleção do braço curto do cromossomo 4
Q934,Supresión del brazo corto del cromosoma 5,Deleção do braço curto do cromossomo 5
Q935,Otras supresiones de parte de un cromosoma,Outras deleções parciais de cromossomo
Q936,Supresiones visibles sólo en la prometafase,Deleções vistas somente na prometáfase
Q937,Supresiones con otros reordenamientos complejos,Deleções com outros rearranjos complexos
Q938,Otras supresiones de los autosomas,Outras deleções dos autossomos
Q939,Supresión de los autosomas,Deleções não especificadas dos autossomos
Q95,Reordenamientos equilibrados y marcadores estructurales,
Q950,Translocación equilibrada e inserción en individuo normal,Translocação ou inserção equilibrada em sujeito normal
Q951,Inversión cromosómica en individuo normal,Inversão cromossômica em sujeito normal
Q952,Reordenamiento autosómico equilibrado en individuo anormal,Rearranjo autossômico equilibrado em sujeito anormal
Q953,Reordenamiento autosómico/sexual equilibrado en individuo anormal,Rearranjo sexual/autossômico equilibrado em sujeito anormal
Q954,Individuos con heterocromatina marcadora,Sujeito com marcador de heterocromatina
Q955,Individuos con sitio frágil autosómico,Sujeito com sítio autossômico frágil
Q958,Otros reordenamientos equilibrados y marcadores estructurales,Outros rearranjos e marcadores equilibrados
Q959,Reordenamiento equilibrado y marcador estructural,Rearranjos e marcadores equilibrados não especificados
Q96,Síndrome de Turner,
Q960,Cariotipo 45,"Cariótipo 45, X"
Q961,Cariotipo 46,"Cariótipo 46, X iso (Xq)"
Q962,Cariotipo 46,"Cariótipo 46, X com cromossomo sexual anormal, salvo iso (Xq)"
Q963,Mosaico 45,"Mosaicismo cromossômico, 45, X/46, XX ou XY"
Q964,Mosaico 45,"Mosaicismo cromossômico, 45, X/outra(s) linhagens celular(es) com cromossomo sexual anormal"
Q968,Otras variantes del síndrome de Turner,Outras variantes da síndrome de Turner
